,text
7,"पोखरा, जेठ ६ । पोखराको गण्डकी मेडिकल कलेज (जिएमसी) र मणिपाल शिक्षण अस्पतालमा अब कोरोनाको निःशुल्क उपचार हुने भएको छ । सरकारले कोभिड–१९ केयर युनिट सञ्चालनका लागि ३० भन्दा बढी"
8,"काठमाडौं, जेठ ६ । नेपालमा पछिल्लो २४ घण्टामा कोरोना संक्रमणबाट १९० जनाको मृत्यु भएको छ । बिहीबार स्वास्थ्य तथा जनसंख्या मन्त्रालयले दिएको जानकारी अनुसार पछिल्लो २४ घण्टामा देशका १९० जनाको"
9,"वीरगञ्ज, जेठ ६ । वीरगञ्ज महानगरपालिकाकी उप-मेयर ९१ वर्षीया शान्ति कार्की कोरोनामुक्त हुनु भएको छ । वीरगञ्ज महानगरपालिकाले सञ्चालन गरेको कोभिड– १९ अस्पतालको पहिलो बिरामीको रुपमा भर्ना हुनु भएकी उप-मेयर"
0,"काठमाडौं, जेठ ६ । नेकपा माओवादी केन्द्रले कोरोना भाइरस रोकथाम र नियन्त्रका लागि काम गरिरहेका उप्रधानमन्त्री नेतृत्वको सीसीएमसी खारेज गर्न माग गरेको छ । बिहीबार पार्टी कार्यालय कोटेश्वरमा बसेको स्थायी"
1,"काठमाडौं, जेठ ६ । कोरोना महामारीविरुद्ध प्रयोग हुने अत्यावश्यकीय स्वास्थ्य सामग्री लिएर युरोपेली मुलुक स्पेनबाट आएको चार्टड विमान काठमाडौं उत्रिएको छ । कोरोना महामारीमा उपचार तथा रोकथामका लागि स्पेन सरकारले"
2,"काठमाडौं, जेठ ६ । कोरोना महामारीको जटिल अवस्थासँग जुधिरहेको नेपाललाई तिब्बतले स्वास्थ्य सामग्री सहयोग गरेको छ । चीनको स्वशासित क्षेत्र तिब्बतको सरकारले नेपाललाई महामारीविरुद्ध लड्न आपतकालीन स्वास्थ्य सामाग्री सहयोग गरेको"
3,"एजेन्सी, जेठ ६ । भारतमा कोरोनाबाट पछिल्लो २४ घण्टामा दुई लाख ७६ हजारभन्दा धेरै नयाँ संक्रमित थपिएका छन् । भारतमा सातौं दिन पनि नयाँ संक्रमितभन्दा निको हुनेको संख्या बढी छ"
4,"काठमाडौं, जेठ ६ । नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले प्रधानमन्त्री केपी ओलीलाई कोरोना महामारी नियन्त्रणलगायत विषयमा पार्टीका तर्फबाट ध्यानाकर्षण पत्र बुझाउनुभएको छ । प्रधानमन्त्री कार्यालय, सिंहदरबारमा पुगेर देउवाले प्रधानमन्त्री ओलीलाई"
5,"कपिलवस्तु, जेठ ५ । कोरोनाले देश आक्रान्त भएको बेला स्थानीय सरकार आफ्ना नागरिकको रक्षाको लागि फरक फरक अभ्यास मा जुटेका छन् । नागरिकप्रती बफादार भई केही पालिकाका जनप्रतिनिधी सकृयता साथ"
6,तेस्रो भेरियन्ट बढी संक्रामक हुनुका साथै यसले जटिलता निम्त्याउने भन्दै सरकारले अहिलेको अवस्थामा कुन भेरियन्ट नेपालमा भित्रियो भन्दा पनि संक्रमण रोकथाम तथा नियन्त्रणको लागि उचित व्यवस्थापनमा ध्यान दिनुपर्नेमा भाइरोलोजिष्ट बासुदेव
7,"कैलाली, जेठ ५ । कैलालीमा कोरोना संक्रमितको शव व्यवस्थापनका लागि नेपाली सेनाले महिला सैनिकलाई पनि खटाएको छ । धनगढीमा रहेको नेपाली सेनाको भवानी दल गणले बुधबारदेखि उप-सेनानी शशी खड्काको कमाण्डमा"
8,"स्याङ्जा, जेठ ५ । स्याङ्जाका पछिल्लो २४ घण्टामा थप ६ जना कोरोना संक्रमितको उपचारको क्रममा र होमआइसोलेनमा निधन भएको छ । पछिल्लो २४ घण्टामा कोरोना संक्रमणबाट वालिङ नगरपालिकाका तीन, चापाकोट,"
9,"काठमाडौं, जेठ ५ । भारतबाट नेपालले कोरोनाविरुद्धको खोप तत्काल पाउने सम्भावना टरेको छ । आफै कोभिड–१९ को चपेटमा परेको भारतको सबैभन्दा ठूलो खोप उत्पादक कम्पनी सिरम इन्ष्टिच्यूटले यस वर्षको अन्त्यसम्म"
0,"बागलुङ । पछिल्लो २४ घण्टामा गण्डकी प्रदेशमा कोरोना संक्रमणबाट थप १५ जनाको मृत्यु भएको छ । स्वास्थ्य निर्देशनालय गण्डकी प्रदेशका निर्देशक डा.विनोद बिन्दु शर्माले दिएको जानकारी अनुसार अनुसार बागलुङका ४,"
1,"काठमाडौं, जेठ ४ । कोरोनाको दोस्रो लहर सुरुभएसँगै पर्यटक आवागमन घट्न थालेपछि म्याग्दीको पर्यटन व्यवसाय पुनः धरासायी बन्दै गएको छ । आन्तरिक तथा बाह्य पर्यटकका संख्या वर्षेनी वृद्धि हुन थालेसंगै"
2,"बागलुङ, जेठ ४ । गण्डकी प्रदेशमा पछिल्लो २४ घण्टामा कोरोना संक्रमणबाट थप १५ जनाको मृत्यु भएको छ । स्वास्थ्य निर्देशनालय गण्डकी प्रदेशका निर्देशक डा. विनोद बिन्दु शर्माले दिएको जानकारी अनुसार"
3,"काठमाडौं, जेठ ४ । नेपालमा पछिल्लो २४ घण्टामा ८२०३ जना कोरोना संक्रमित थपिएका छन् । पछिल्लो २४ घण्टामा २० हजार ९७९ परीक्षण गर्दा ८ हजार २ सय ३ जनामा कोरोना"
4,"कपिलवस्तु, जेठ ४ । कपिलवस्तुमा कोरोना सक्रमितको शव व्यवस्थापन स्वास्थ्यकर्मीले नै गर्दै आएका छन् । आइशोलेशनमा निधन भएका व्यक्तिहरुको शव व्यवस्थापन नेपाली सेनाले गर्ने भए पनि शिवराज नगरपालिकामा भने स्वास्थ्यकर्मीले"
5,राजन कुईंकेल । मुलुक कोरोना महामारीको चरम संकटमा छ । दैनिक दुई अढाई सय व्यक्तिको मृत्यु भइरहेको छ । प्राणवायु मानिने अक्सिजन नपाएर आफ्ना प्रियजन भट्टयाक भट्टयाक मर्दै गरेको हेर्न
6,"एजेन्सी, जेठ ४ । जापानका चिकित्सकहरुको एक समूहले जापानमा ६६ दिनपछि हुन गइरहेको ओलम्पिक खेल रद्द गर्न आग्रह गरेका छन् । कोरोना भाइरसको बढ्दो आकार र गतिलाई मध्यनजर गर्दै चिकित्सकहरुले"
7,"एजेन्सी, जेठ ४ । अमेरिकाले आउने ६ सातामा विभिन्न मुलुकलाई कोरोनाविरुद्धको ८ करोड डोज खोप सहयोग गर्ने घोषणा गरेको छ । अमेरिकी राष्ट्रपति जो बाइडेनले आगामी जुनको अन्तिमसम्ममा विश्वका विभिन्न"
8,"काठमाडौं, जेठ ३ । सर्वोच्च अदालतले नागरिकको जीवनरक्षाको लागि ७ दिनभित्र कार्ययोजना बनाएर काम गर्न सरकारको नाममा आदेश जारि गरेको छ । अधिवक्ता मनिषकुमार श्रेष्ठले दायर गरेको रिटमाथि सुनुवाइ गर्दै"
9,"कैलाली, जेठ ३ । सेती प्रादेशिक अस्पताल धनगढीले कोरोना संक्रमित बिरामीहरुका लागि शैया थप गरेको छ । कोरोना अस्थायी अस्पतालबाट ५० शैयाबाट उपचार सेवा सुरु गरेको अस्पतालले अब विस्तार गरेर"
0,"स्याङ्जा, जेठ ३ । स्याङ्जामा कोरोनाबाट थप ५ जनाको मृत्यु भएको छ । पछिल्लो २४ घण्टामा कोरोना संक्रमणबाट वालिङ, भीरकोट र गल्याङ नगरपालिकाका एकरएक जना र पुतलीबजार नगरपालिका दुईको कोरोना"
1,"काठमाडौं, जेठ ३ । भारतले कोरोना भाइरसविरुद्ध तयार पारेको औषधि आज सार्वजनिक गरेको छ । भारतीय रक्षा मन्त्री राजनाथ सिंहले सोमबार एक कार्यक्रमबीच २–डीजी नामक औषधि सार्वजनिक गर्दै कोभिड–१९ का"
2,काठमाडौं । कोभिड–१९ को सङ्क्रमण बढ्न थालेपछि पछिल्लो समय काठमाडौँ महानगरपालिकामा कोरोना परीक्षण गरिएकामध्ये ७० प्रतिशतलाई पुष्टि भएको छ । गत शनिबारसम्म स्वाब सङ्कलनका लागि पाँच वटा केन्द्र बनाएर काम
3,"काठमाडौं, जेठ २ । नेपाल पत्रकार महासंघका अध्यक्ष विपुल पोखरेलले कोरोना महामारी नियन्त्रण गर्न सरकारले सम्पूर्ण स्रोत साधनको परिचालन गर्नुपर्ने बताउनुभएको छ । अध्यक्ष पोखरेलले मुलुक कोरोना महामारीका कारण संकटग्रस्त"
4,"नवलपरासी, जेठ २ । पश्चिम नवलपरासीमा कोरोना संक्रमित हुनेमा युवाहरुको संख्या धेरै रहेको पाइएको छ । दोस्रो लहरमा फैलिएको संक्रमणमा २५ देखि ४० वर्ष उमेर समुहका युवाहरुमा बढी संक्रमण देखिएको"
5,"काठमाडौं, जेठ २ । सरकारले कोरोना बिरामीका आफन्तलाई अक्सिजन सिलिण्डर खोज्न नलगाउन आग्रह गरेको छ । बिरामीका आफन्तसँग अक्सिजन नमाग्न अस्पतालहरुलाई स्वास्थ्य तथा जनसंख्या मन्त्रालयले आग्रह गरेको हो । मन्त्रालयका"
6,"बागलुङ, जेठ २ । कोरोना संक्रमित ह्वात्तै बढेपछि बागलुङको धौलागिरी अस्पतालमा अक्सिजन अभाव हुन थालेको छ । कोरोनाको दोस्रो लहरको नयाँ भेरियन्टसँगै कोरोना संक्रमण दर तिव्र बढ्दा धौलागिरी अस्पतालमा अहिले"
7,"काठमाडौं, जेठ २ । नेपालमा पछिल्लो २४ घण्टामा थप ७ हजार ३६८ जनामा कोरोना भाइरसको संक्रमण पुष्टि भएको छ । गत २४ घण्टामा देशभर गरिएको एन्टिजेन र पीसीआर परीक्षण गर्दा"
8,"काठमाडौं, जेठ २ । प्रधानमन्त्री केपी ओलीलै जुनसुकै उपाय अपनाएर भए पनि नागरिकको ज्यान जोगाउन मातहतका मन्त्री, निकाय र अधिकारीहरुलाई निर्देशन दिनुभएको छ । सिंहदरबारमा प्रधानमन्त्री ओलीसमेत उपस्थित भएको कोभिड–१९"
9,रौतहट । रौतहटमा कोरोनाको संक्रमित संख्या बढदै गएपछि स्थानीय प्रशासनले निषेधाज्ञामा आज देखि कडाई गरेको छ । प्रमुख शहरका राजमार्ग र सहायक राजमार्गमा सबारी साधन चल्न रोक लगाएर मानिसहरुको आवागमनलाई
0,रसुवा । हिमाली जिल्ला रसुवामा कोरोना परिक्षणका लागि स्वाब संकलनको कार्य रोकिएसंगै बिरामीहरु अन्यौलमा परेका छन । त्रिशुली अस्पताल नुवाकोटले कोरोना परिक्षणका लागि स्वाब संकलनको कार्य बन्द गरेसँगै लक्षण देखिएका
1,बाजुरामा कोरोना कहर सुरु भएदेखि अहिलेसम्म ५ जनाको मृत्यु भइसकेको छ । जिल्ला अस्पताल बाजुराले २ वर्षसम्म पनि शव वाहन खरिद नगरेकाले फोहोर बोक्ने टिपर र यात्रुवाहक सवारीमा शव बोक्नु
2,"काठमाडौं, बैशाख ३१ । मुलुक यतीबेला कोरोना महामारीसँग जुधिरहेको छ । कोरोना महामारीले तिव्र रुप लिँदा अक्सिजन अभाव, बेडको अभाव लगायतका कारण दैनिक मृत्युदर पनि बढिरहेको छ । यसैबेला अर्थमन्त्रालयले"
3,"बागलुङ, बैशाख ३१ । गण्डकी प्रदेशमा हरेक दिन कोरोना संक्रमणबाट मृत्यु हुनेको दर तीब्र रुपमा बढिरहेको छ । पछिल्लो २४ घण्टामा थप २३ जना संक्रमितको मृत्यु भएको स्वास्थ्य निर्देशनालय गण्डकी"
4,"काठमाडौं, बैशाख ३१ । नेपालमा कोरोना संक्रमणबाट एकैदिन २०३ जनाको मृत्यु भएको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार पछिल्लो २४ घण्टामा २०३ जनाको मृत्यु भएको हो । योसँगै नेपालमा"
5,"स्याङ्जा, बैशाख ३१ । स्याङ्जाका एकैदिन ६ जना कोरोना संक्रमितको उपचारको क्रममा मृत्यु भएको छ । पछिल्लो २४ घण्टामा कोरोना संक्रमणबाट गल्याङ नगरपालिका र पुतलीबजा नगरपालिकाका दुई/दुई जना, वालिङ नगरपालिकाका"
6,"काठमाडौं, बैशाख ३१ । प्रख्यात आँखा विशेषज्ञ डाक्टर सन्दुक रुइतले कोरोना महामारीको यस कठीन क्षणमा नेपाल र नेपालीलाई सघाउन विश्वभरका मानिससँग अपील गर्नुभएको छ । सामाजिक सञ्जाल फेसबुकमा एक भिडियो"
7,"म्याग्दी, बैशाख ३१ । म्याग्दीमा कोरोना संक्रमणको दर उच्च देखिएको छ । स्वास्थ्य कार्यालय म्याग्दीका अनुसार बैशाखमा जिल्लाबाट नमुना संकलन गरि कोरोना परिक्षण गरिएको तथ्यांक अनुसार कोरोना परिक्षण गराएकाहरुमध्ये ७०"
8,"काठमाडौं । कांग्रेस सभापति शेरबहादुर देउवाले सरकारको चरम लापरवाहीले कोरोना संक्रमितको मृत्यु बढेको बताउनु भएको छ । सरकारको चरम लापरवाही, असंवेदनशीलता र अर्कमन्यताका कारण बढ्दो संक्रमणसँगै आइसीयू, भेन्टिलेटर र अक्सिजन"
9,"काठमाडौं, बैशाख ३० । कोरोना संक्रमित निम्न वर्गीय तथा ज्यालादारी मजदुरहरुलाई लक्षित गर्दै भगवान महावीर जैन निकेतनमा ड्राई आइसोलेसन सेन्टर संचालन गरिएको छ । काडमाडौं महानगरपालिका वडा नं २९ को"
0,"काठमाडौं, वैशाख ३० । कोरोना महामारीको चरम संकटमा फसेको नेपाललाई सघाउन अमेरिका र युरोपियन युनियन तयार भएका छन् । नेपाल आवश्यक पर्ने स्वास्थ्य सामग्री उपलब्ध गराउनका लागि आवश्यक सहयोग गर्न"
1,"बागलुङ, बैशाख ३० । कोरोना संक्रमणबाट गण्डकी प्रदेशमा पछिल्लो २४ घण्टामा थप १४ जनाको मृत्यु भएको छ । पोखराका विभिन्न अस्पतालमा ९ जना बागलुङको धौलागिरी अस्पतालमा ४ जना र म्याग्दीको"
2,एम्नेष्टीले नेपालका राजनीतिज्ञहरूलाई राजनीतिक झगडा र आन्तरिक कलहमा नअल्झी देशमा चुलिँदो संबटलाई सम्बोधन गर्न पनि अपील गरेको छ ।
3,नेपालमा कोरोनाको महामारीको अवस्था डलरलाग्दो रहेकोबारे आफूले कनेक्टिकटको नेपाली समुदायबाट सुनेको र यसबारे बाइडेन प्रशासनलाई अझै सहायताका लागि आज आफूले सिनेटमा दबाब दिएको मर्फीले ट्वीटरमा उल्लेख गर्नुभएको छ ।
4,"काठमाडौं, वैशाख ३० । काठमाडौं जिल्ला अदालतका न्यायाधीश बासुदेवलाल श्रेष्ठको निधन भएको छ। ललितपुरको इमाडोल घर भएका उहाँको कोरोना संक्रमणका कारण निधन भएको हो । टेकु अस्पतालमा उपचाररत श्रेष्ठको बुधबार"
5,"काठमाडौं, वैशाख २९ । नेपाली कांग्रेसका नेता दिपक गिरिले कोरोना महामारीको विकराल अवस्थामा जनताको जीवन बचाउन सम्पूर्ण ध्यान केन्द्रित गर्नका लागि सरकारको ध्यानाकर्षण गराउनुभएको छ । बुधबार एक विज्ञप्ति निकाल्दै"
6,"स्याङ्जा, बैशाख २९ । स्याङ्जामा जेठ १५ गतेसम्मका लागि निषेधाज्ञा बढाउने निर्णय भएको छ । बैशाख २१ गतदेखि जारी भएको निषेधाज्ञालाई समय थप गरि जेठ १५ सम्म थप गरिएको जिल्ला"
7,"काठमाडौं, बैशाख २९ । नेपाल चिकित्सक संघले नेपाल कोरोना महामारीको गम्भीर अवस्थामा पुगेको भन्दै देशभर रेड अर्लट घोषणा गरेको छ । संघले आज विज्ञप्ति जारी गर्दै महामारी तिव्र रुपमा बढ्दै"
8,"काठमाडौं, वैशाख २९ । सरकारले कोरोना संक्रमित बिरामीका लागि प्रयोग गर्ने गरिएको औषधि रेम्डिसिभिरको मूल्य तोकेको छ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले एक विज्ञप्ति निकाली उक्त औषधिको प्रतिभाइल ४ हजार"
9,मंगलबारसम्म फाट्टफुट्ट केही अस्पतालले मात्र अक्सिजन अभावले गर्दा उपचार गर्न समस्या भएको बताइरहेका बेला बुधबार आइपुग्दा एकपछि अर्को गर्दै सुबिधासम्पन्न मानिएका अस्पतालहरुले उपचार गर्न नसक्ने घोषणा गर्दै हात उठाएका हुन्
0,"काठमाडौं, बैशाख २९ । नेपालमा पछिल्लो २४ घण्टामा थप १६८ जनाको कोरोना संक्रमणका कारण मृत्यु भएको छ । बुधबार स्वास्थ्य तथा जनसंख्या मन्त्रालयका प्रवक्ता डा. जागेश्वर गौतमले पछिल्लो २४ घण्टामा"
1,"स्याङ्जा, बैशाख २९ । स्याङ्जामा कोरोना लक्ष्यण देखिएका तर पिसिआर परिक्षण नभएको एक युवतीको मृत्यु भएको छ । ति युवतीका आफन्तले शव उठाउन मानेका छैनन् । पुतलीबजार नगरपालिका ६ टक्सार"
2,"अर्घाखाँची, बैशाख २९ । जिल्ला अस्पताल अर्घाखाँचीमा कोरोनाका बिरामीलाई बेडको अभाव भएको छ । १० बेडको एचडियु र ६ बेडको जनरल गरी १६ वटा बेड कोरोनाका बिरामीको उपचारको लागि भए"
3,"स्याङ्जा, बैशाख २९ । स्याङ्जामा कोरोना संक्रमणको दोस्रो लहर शुरु भएपछि कोरोनाबाट मृत्यु हुने संख्या १८ पुगेको छ । जिल्ला स्वास्थ्य कार्यालय स्याङ्जाले १३ जना पुरुष र ५ जना महिलाको"
4,एजेन्सी । भारतमा पछिल्लो २४ घण्टामा ४ हजार २०५ जनाको कोरोनाका कारण मृत्यु भएको छ । कोरोनाका कारण मृत्यु हुनेको यो संख्या हालसम्मकै उच्च हो । मंगलबार मात्र ४ हजार
5,काठमाडौं । कोरोनाको कारण अभिनेत्री श्वेता भट्टराईका श्रीमान् मिलन सापकोटाको निधन भएको छ । सापकोटाको उपचारका क्रममा मंगलबार निधन भएको हाे । फिल्म निर्देशक जनकदीप पराजुलीले सापकोटाको मृत्युको खबरले आफु
6,काठमाडौं । ललितपुर नख्खुस्थित नेपाल मेडिसिटी अस्पतालमा कोभिड–१९ र बिरामीको सुरक्षित उपचारमा अक्सिजनको अभाव भएको जनाएको छ । अहिले १२० भन्दाबढी कोरोना र सय हाराहारीमा अन्य बिरामीको उपचार भइरहेको अस्पतालका
7,वृद्ध २२ गते हर्नियाको अप्रेसन गरेर फर्किएका थिए । उनमा सोही दिन कोरोना संक्रमण पुष्टि भएको थियो । वृद्धको शव परिवारलेनै व्यवस्थापन गरेको छ ।
8,यस अघि संक्रमण पुष्टि भएकाहरू प्राय सदरमुकाम र आसपासका थिए । प्रजिअ पाण्डेका अनुसार फुङलिङ नगरपालिकाबाट पठाइएको १ सय ३५ र पाथीभरा याङ्वरक गाउँपालिकाबाट पठाईएको २० जनाको परिक्षण रिपोर्ट आउन
9,"काठमाडौं, बैशाख २८ । पूर्वराजा ज्ञानेन्द्र शाह कोरोना भाइरसको संक्रमणबाट मुक्त हुनभएको छ । नर्भिक अस्पतालमा उपचार गराइरहनु भएका पूर्वराजाको दुई दिनअघि गरिएको पीसीआर परीक्षणको रिपोर्ट नेगेटिभ आएको अस्पाताले जनाएको"
0,"उदयपुर । कोभिडको नयाँ भेरियन्टका कारण उदयपुरमा सोमबार एक कार्यालय प्रमुख सहित ३ जनाको मृत्यु भएको छ । मृत्युु हुनेमा एक ३४ बर्षिय पुरुष कार्यालय प्रमुखको शिक्षण अस्पताल महाराजगंजमा ,"
1,बर्दिया । कोरोना संक्रमणबाट बर्दियामा २१ वर्षका युवाको मृत्यु भएको छ । गुलरिया नगरपालिका ६ का करण थापा मगरको गएराति भेरी अस्पताल नेपालगन्जमा मृत्यु भएको हो । उनी नेपालगन्जको भेरी
2,"एजेन्सी । चीनले कोरोना सङ्क्रमणको रोकथाम, नियन्त्रण तथा उपचारका लागि अनुदानस्वरूप दिएको अक्सिजन सिलिन्डरलगायतका स्वास्थ्य सामग्री आज काठमाडौं आइपुग्दैछ । अक्सिजन सिलिन्डरलगायतका स्वास्थ्य सामग्री लिन वायुसेवा निगमको वाइडबडी विमान हिजो"
3,"काठमाडौं, वैशाख २७ । नेपाली कांग्रेसका सभापति शेरबहादुर देउवाले कोरोनाको महामारीले जनता मरिरहेका छन् तर प्रधानमन्त्री टुलुटुलु हेरेर बसिरहेको आरोप लगाउनुभएको छ । प्रतिनिधि सभाको बैठकलाई सम्बोधन गर्दै उहाँले जनता"
4,"काठमाडौं, वैशाख २७ । प्रधानमन्त्री केपी ओलीले कोरोनाविरुद्ध लडाइँमा जुटिरहेको सरकारविरुद्ध खोप खरिदमा भ्रष्टाचार भएको जस्ता झूठो आरोप लगाइएको जिकीर गर्नुभएको छ । प्रतिनिधिसभामा विश्वासको मत लिने सन्दर्भमा सम्बोधन गर्दै"
5,"काठमाडौं, बैशाख २६ । सरुवा रोग विशेषज्ञ डा. विराज कर्माचार्यका अनुसार यो हप्ता नेपालमा गत हप्ताको तुलनामा ९०.४ प्रतिशतले कोरोना संक्रमितको संख्या बढेको छ । नेपाल र भारतको संक्रमण उस्तै"
6,"प्रज्ञा तिमल्सीना काठमाडौं, बैशाख २६ । कोरोना संक्रमण देखिएका व्यक्तिको उपचारमा अत्यावश्यक पर्ने अक्सिजनको चरम अभाव देखिएको छ । देशैभरका अस्पतालहरुमा अक्सिजन अभाव हुन थालेपछि संक्रमितले उपचार नै नपाउने अवस्था"
7,"रौतहट, बैशाख २६ । रौतहटमा कोरोना संक्रमितहरुको संख्या दिनप्रति दिन बढदै गएपनि नियन्त्रणमा स्थानीय तहको उदासिनता देखिएको छ । संक्रमण फैलन नदिन स्थानीय प्रशासनले निषेधाज्ञा देखि कोरोना अस्थायी अस्पताल निर्माण"
8,"गुल्मी, बैशाख २६ । पछिल्लो २४ घण्टामा देशभर ५२ जनाको मृत्यु भएको बेला गुल्मीमा भने कोरोना संक्रमणबाट सोमबार एकै दिन ५ जनाको मृत्यु भएको छ । योसंगै गुल्मीमा बैशाखमा मात्र"
9,नबराज भट्ट नेपालमा देस्रो चरणको कोरोना प्रवेश गरेसंँगै बालबालिका कोरोना भाइरस (कोभिड -१९) को उच्चजोखिममा रहेका छन् । बालबालिकालाई घरमै सुरक्षित राखेर कोरोनाबाट जोगाउनुपर्ने चिकित्सकको सुझाव छ । देशका कतिपय
0,"काठमाडौं, बैशाख २६ । नेपालमा आइतबार एकैदिन ८ हजार ८ सय ५० जना कोरोना भाइरसका संक्रमित थपिएका छन् । स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार १८ हजार ७ सय ८७ पीसीआर"
1,"काठमाडौं, वैशाख २६ । नेकपा एमालेका वरिष्ठ नेता माधवकुमार नेपालले कमिसनकै कारण कोरोना खोप आयातमा अवरोध गर्नु मानवताविरोधी अपराध भएकाले त्यस्ता व्यक्तिहरुलाई कार्वाही गर्न माग गर्नुभएको छ । पूर्वप्रधानमन्त्रीसमेत रहनुभएका"
2,"काठमाडौं, बैशाख २६ । नेपाल लोकतान्त्रिक शेर्पा संघका सचिव तथा बेष्ट क्वालिटी गार्ड सर्भिस र प्रोफेसनल मेनपावर सर्भिसका अध्यक्ष सञ्जय शेर्पाले नेपाल पत्रकार महासंघ इमेज प्रतिष्ठानलाई सुरक्षा सामाग्री प्रदान गर्नु"
3,काठमाडौं । सरकारले कोरोना भाइरसको दोस्रो लहरका कारण वैदेशिक रोजगारीमा पर्ने असरबारे अध्ययन थालेको छ । कोरोनाको पहिलो लहरले पनि वैदेशिक रोजगारी प्रभावित भएको थियो । अहिले कोरोनाको दोस्रो लहर
4,"बाँकी एक सय ४१ जना संक्रमितहरु संसद सचिवालयका कर्मचारी, मर्यादापालक, स्वकीय सचिव, सुरक्षाकर्मी, संसदीय मामिला पत्रकार, आईसीसी कर्मचारी तथा अन्य रहेका छन् ।"
5,"उहाँका अनुसार १ सय ६० जना मध्ये १९ जना सांसद रहेको र बाँकी कर्मचारी, सुरक्षाकर्मी, मर्यादापालक र पत्रकार रहेको उहाँको भनाइ छ ।"
6,कोरोना सँगै ती युवामा निमोनिया तथा श्वासप्रश्वासमा समस्या रहेको गण्डकी प्रदेश स्वास्थ्य निर्देशनालयका निर्देशक विनोद विन्दु शर्माले जानकारी दिनुभयो ।
7,कांग्रेस प्रदेश १ संसदीय दलका नेता तथा कांग्रेस सुनसरी सभापति राजिव कोइरालाले इनरुवामा रहेको जिल्ला पार्टी कार्यालयको भवन नगरपालिकाले आवश्यकता अनुसार प्रयोजनमा ल्याउने गरी जिम्मा दिएको बताउनुभयो ।
8,"काठमाडौं, बैशाख २४ । स्वास्थ्य तथा जनसंख्या मन्त्रालयले आइसियू र भेन्टिलेटरमा राखेर उपचार गर्नुपर्ने कोरोनाका विरामीलाई प्रतिदिन औसतमा १४ हजार लिटर अक्सिजन आवश्यक पर्ने जनाएको छ । मन्त्रालयले मेडिकल अक्सिजन"
9,"काठमाडौं, बैशाख २४ । संघीय संसद भवनमा स्वाव दिएका ६१३ जनामध्ये ६५ जनामा कोरोना संक्रमण देखिएको छ । जसमध्ये १४ जना सांसद छन् भने बाँकी ५१ जना सचिवालयका कर्मचारी, सुरक्षाकर्मी"
0,"बागलुङ, बैशाख २४ । बागलुङको बडिगाड गाउँपालिका ४ जलजलाका २५ जनामा कोराना संक्रमण पुष्टि भएको छ । संक्रमति भएका अधिकांश केही दिन अगाडी सोही गाउँमा भएको एउटा विवाह समारोहमा सहभागी"
1,"काठमाडौं, बैशाख २४ । काठमाडौं उपत्यकामा कोरोना भाइरसको महामारी भयावह स्थितिमा पगेको छ । शुक्रबार देशभर ९ हजार १ सय ९६ संक्रमित थपिएकामा काठमाडौं उपत्यकाका मात्र ४ हजार १ सय"
2,"काठमाडौं, बैशाख २४ । नेपालमा एकैदिन अहिलेसम्मकै सबैभन्दा बढी ९ हजार १ सय ९६ जना कोरोनाका संक्रमित थपिएका छन् । स्वास्थ्य तथा जनसंख्या मन्त्रालयका अनुसार १९ हजार ९ सय ८७"
3,"काठमाडौं, बैशाख २४ । संघीय संसद सचिवालयमा कार्यरत उपसचिव कृष्ण खनालको कोरोना संक्रमणबाट मृत्यु भएको छ । केहि महिना अघि मात्र कानून, न्याय तथा संसदीय मामिला मन्त्रालयबाट संसद सचिवालयमा सरुवा"
4,"काठमाडौं, बैशाख २४ । बाँकेमा कोरोना संक्रमणबाट थप ८ जनाको मृत्यु भएको छ । जिल्ला कोभिड–१९ संकट व्यवस्थापन केन्द्र, बाँकेका फोकलपर्सन तेजबहादुर वलीका अनुसार मृत्यु हुनेमा नेपालगन्जका ६ जना, बर्दिया"
